decil,MAT,SERV
59.0,433.0,Comunitaria
60.0,433.79999999999995,Comunitaria
61.0,436.0,Comunitaria
62.0,439.0,Comunitaria
63.0,441.0,Comunitaria
64.0,443.0,Comunitaria
65.0,445.0,Comunitaria
66.0,447.0,Comunitaria
67.0,450.0,Comunitaria
68.0,453.0,Comunitaria
69.0,455.0,Comunitaria
70.0,457.0,Comunitaria
71.0,459.0,Comunitaria
72.0,462.0,Comunitaria
73.0,465.0,Comunitaria
74.0,468.0,Comunitaria
75.0,470.5,Comunitaria
76.0,473.0,Comunitaria
77.0,476.0,Comunitaria
78.0,479.0,Comunitaria
79.0,482.4200000000001,Comunitaria
80.0,485.4000000000001,Comunitaria
81.0,489.0,Comunitaria
82.0,493.0,Comunitaria
83.0,496.0,Comunitaria
84.0,500.0,Comunitaria
85.0,503.5999999999999,Comunitaria
86.0,509.0,Comunitaria
87.0,516.26,Comunitaria
88.0,520.0,Comunitaria
89.0,525.22,Comunitaria
90.0,532.4000000000001,Comunitaria
91.0,539.3600000000001,Comunitaria
92.0,551.1600000000001,Comunitaria
93.0,556.1400000000001,Comunitaria
94.0,563.1199999999999,Comunitaria
95.0,575.0,Comunitaria
96.0,582.0799999999999,Comunitaria
97.0,597.2399999999998,Comunitaria
98.0,613.0,Comunitaria
99.0,645.0,Comunitaria
0.0,200.0,Privada
1.0,347.0,Privada
2.0,371.0,Privada
3.0,385.0,Privada
4.0,396.0,Privada
5.0,406.0,Privada
6.0,413.0,Privada
7.0,421.0,Privada
8.0,427.0,Privada
9.0,433.0,Privada
10.0,439.0,Privada
11.0,445.0,Privada
12.0,449.0,Privada
13.0,454.0,Privada
14.0,459.0,Privada
15.0,464.0,Privada
16.0,468.0,Privada
17.0,473.0,Privada
18.0,477.0,Privada
19.0,480.0,Privada
20.0,484.0,Privada
21.0,488.0,Privada
22.0,492.0,Privada
23.0,496.0,Privada
24.0,499.0,Privada
25.0,503.0,Privada
26.0,507.0,Privada
27.0,510.0,Privada
28.0,513.0,Privada
29.0,517.0,Privada
30.0,519.0,Privada
31.0,523.0,Privada
32.0,526.0,Privada
33.0,529.0,Privada
34.0,532.0,Privada
35.0,536.0,Privada
36.0,539.0,Privada
37.0,542.0,Privada
38.0,546.0,Privada
39.0,549.0,Privada
40.0,552.0,Privada
41.0,555.0,Privada
42.0,558.0,Privada
43.0,561.0,Privada
44.0,565.0,Privada
45.0,568.0,Privada
46.0,572.0,Privada
47.0,576.0,Privada
48.0,579.0,Privada
49.0,583.0,Privada
50.0,585.0,Privada
51.0,588.0,Privada
52.0,592.0,Privada
53.0,595.0,Privada
54.0,599.0,Privada
55.0,602.0,Privada
56.0,605.0,Privada
57.0,608.0,Privada
58.0,611.0,Privada
59.0,615.0,Privada
60.0,618.0,Privada
61.0,621.0,Privada
62.0,625.0,Privada
63.0,628.0,Privada
64.0,632.0,Privada
65.0,635.0,Privada
66.0,639.0,Privada
67.0,644.0,Privada
68.0,647.0,Privada
69.0,652.0,Privada
70.0,656.0,Privada
71.0,660.0,Privada
72.0,664.0,Privada
73.0,669.0,Privada
74.0,673.0,Privada
75.0,677.0,Privada
76.0,681.0,Privada
77.0,687.0,Privada
78.0,691.0,Privada
79.0,696.0,Privada
80.0,700.0,Privada
81.0,705.0,Privada
82.0,710.0,Privada
83.0,716.0,Privada
84.0,721.0,Privada
85.0,726.0,Privada
86.0,732.0,Privada
87.0,737.0,Privada
88.0,745.0,Privada
89.0,752.0,Privada
90.0,758.0,Privada
91.0,766.0,Privada
92.0,773.0,Privada
93.0,781.0,Privada
94.0,789.0,Privada
95.0,799.0,Privada
96.0,800.0,Privada
97.0,800.0,Privada
98.0,800.0,Privada
99.0,800.0,Privada
